State,Day,EWMA
Florida,2016-09-01,-2.405676253
Florida,2016-09-02,-3.141129139
Florida,2016-09-03,-3.32499236
Florida,2016-09-04,-3.158950671
Florida,2016-09-05,-3.075929826
Florida,2016-09-06,-2.693419963
Florida,2016-09-07,-2.528907458
Florida,2016-09-08,-2.488411813
Florida,2016-09-09,-2.506805655
Florida,2016-09-10,-2.382237148
Florida,2016-09-11,-2.288810769
Florida,2016-09-12,-2.363786776
Florida,2016-09-13,-2.414877884
Florida,2016-09-14,-2.53490933
Florida,2016-09-15,-2.626635044
Florida,2016-09-16,-2.357811046
Florida,2016-09-17,-2.27297164
Florida,2016-09-18,-2.201527929
Florida,2016-09-19,-2.130517495
Florida,2016-09-20,-2.182860544
Florida,2016-09-21,-2.127188368
Florida,2016-09-22,-2.097452351
Florida,2016-09-23,-2.194496577
Florida,2016-09-24,-2.279895497
Florida,2016-09-25,-2.355440694
Florida,2016-09-26,-2.422591981
Florida,2016-09-27,-2.199223572
Florida,2016-09-28,-2.002542178
Florida,2016-09-29,-1.841158863
Florida,2016-09-30,-1.68519289
Florida,2016-10-01,0.576313706
Florida,2016-10-02,0.723228866
Florida,2016-10-03,0.64659746
Florida,2016-10-04,1.134987596
Florida,2016-10-05,1.565293766
Florida,2016-10-06,1.748458799
Florida,2016-10-07,1.915346803
Florida,2016-10-08,1.817671571
Florida,2016-10-09,1.749298909
Florida,2016-10-10,1.655863318
Florida,2016-10-11,1.585786625
Florida,2016-10-12,1.565463759
Florida,2016-10-13,1.622937251
Florida,2016-10-14,1.583522145
Florida,2016-10-15,1.589192572
Florida,2016-10-16,1.605235442
Florida,2016-10-17,1.716554064
Florida,2016-10-18,1.787470306
Florida,2016-10-19,1.814651186
Florida,2016-10-20,1.77323356
Florida,2016-10-21,1.727689535
Florida,2016-10-22,1.781440415
Florida,2016-10-23,1.849691369
Florida,2016-10-24,1.876041705
Florida,2016-10-25,1.834029644
Florida,2016-10-26,1.806461929
Florida,2016-10-27,1.67103962
Florida,2016-10-28,1.57175585
Florida,2016-10-29,1.48332953
Florida,2016-10-30,1.369027885
Florida,2016-10-31,1.236479521
Florida,2016-11-01,-0.01860007
Florida,2016-11-02,-0.056483632
Florida,2016-11-03,0.115218984
Florida,2016-11-04,0.18390003
Florida,2016-11-05,0.296375456
Florida,2016-11-06,0.201860725
Florida,2016-11-07,0.02844968
Michigan,2016-09-01,9.121300553
Michigan,2016-09-02,8.724457906
Michigan,2016-09-03,8.625247244
Michigan,2016-09-04,8.585562979
Michigan,2016-09-05,8.565720847
Michigan,2016-09-06,8.349778571
Michigan,2016-09-07,8.067971501
Michigan,2016-09-08,7.98582285
Michigan,2016-09-09,8.029757635
Michigan,2016-09-10,7.83672468
Michigan,2016-09-11,7.691949964
Michigan,2016-09-12,7.580584798
Michigan,2016-09-13,7.493083595
Michigan,2016-09-14,7.500889684
Michigan,2016-09-15,7.507232132
Michigan,2016-09-16,7.512455324
Michigan,2016-09-17,7.516807983
Michigan,2016-09-18,7.520473381
Michigan,2016-09-19,7.523588969
Michigan,2016-09-20,7.526259474
Michigan,2016-09-21,7.711944957
Michigan,2016-09-22,7.873410594
Michigan,2016-09-23,8.048779848
Michigan,2016-09-24,8.203104793
Michigan,2016-09-25,8.339623012
Michigan,2016-09-26,8.460972541
Michigan,2016-09-27,8.408989648
Michigan,2016-09-28,8.448502058
Michigan,2016-09-29,8.528821413
Michigan,2016-09-30,8.705177068
Michigan,2016-10-01,11.19668715
Michigan,2016-10-02,11.19668715
Michigan,2016-10-03,11.19668715
Michigan,2016-10-04,10.6384022
Michigan,2016-10-05,10.35925973
Michigan,2016-10-06,10.19974974
Michigan,2016-10-07,10.01389016
Michigan,2016-10-08,9.823316532
Michigan,2016-10-09,9.689914991
Michigan,2016-10-10,9.412022148
Michigan,2016-10-11,9.252012419
Michigan,2016-10-12,9.01102409
Michigan,2016-10-13,8.821676117
Michigan,2016-10-14,8.647723244
Michigan,2016-10-15,8.670907381
Michigan,2016-10-16,8.631686571
Michigan,2016-10-17,8.504614104
Michigan,2016-10-18,8.456244126
Michigan,2016-10-19,8.331573606
Michigan,2016-10-20,8.225276897
Michigan,2016-10-21,8.136368681
Michigan,2016-10-22,8.056309528
Michigan,2016-10-23,7.996404158
Michigan,2016-10-24,7.910671305
Michigan,2016-10-25,7.782277974
Michigan,2016-10-26,7.668936072
Michigan,2016-10-27,7.573415783
Michigan,2016-10-28,7.432857134
Michigan,2016-10-29,7.284368109
Michigan,2016-10-30,7.156032556
Michigan,2016-10-31,6.958779186
Michigan,2016-11-01,3.236877422
Michigan,2016-11-02,3.233866053
Michigan,2016-11-03,3.309778849
Michigan,2016-11-04,3.371393035
Michigan,2016-11-05,3.302021833
Michigan,2016-11-06,3.162795148
Michigan,2016-11-07,2.798547454
Pennsylvania,2016-09-01,4.407077451
Pennsylvania,2016-09-02,4.249350947
Pennsylvania,2016-09-03,3.387066988
Pennsylvania,2016-09-04,3.042153404
Pennsylvania,2016-09-05,2.869696612
Pennsylvania,2016-09-06,2.771149874
Pennsylvania,2016-09-07,2.609093305
Pennsylvania,2016-09-08,2.13983865
Pennsylvania,2016-09-09,1.60109602
Pennsylvania,2016-09-10,1.657520549
Pennsylvania,2016-09-11,1.699838946
Pennsylvania,2016-09-12,1.877621585
Pennsylvania,2016-09-13,2.017307944
Pennsylvania,2016-09-14,2.181896751
Pennsylvania,2016-09-15,2.315625157
Pennsylvania,2016-09-16,2.360938708
Pennsylvania,2016-09-17,2.263972949
Pennsylvania,2016-09-18,2.182317573
Pennsylvania,2016-09-19,2.123167016
Pennsylvania,2016-09-20,1.955534121
Pennsylvania,2016-09-21,1.845948196
Pennsylvania,2016-09-22,1.750656088
Pennsylvania,2016-09-23,1.733078389
Pennsylvania,2016-09-24,1.671952434
Pennsylvania,2016-09-25,1.617879474
Pennsylvania,2016-09-26,1.568525464
Pennsylvania,2016-09-27,1.69314657
Pennsylvania,2016-09-28,1.873917823
Pennsylvania,2016-09-29,2.002036194
Pennsylvania,2016-09-30,2.231403405
Pennsylvania,2016-10-01,5.557227963
Pennsylvania,2016-10-02,5.557227963
Pennsylvania,2016-10-03,6.229920658
Pennsylvania,2016-10-04,5.75692351
Pennsylvania,2016-10-05,6.285832481
Pennsylvania,2016-10-06,6.588066178
Pennsylvania,2016-10-07,6.639663314
Pennsylvania,2016-10-08,6.595562821
Pennsylvania,2016-10-09,6.564692476
Pennsylvania,2016-10-10,6.5129884
Pennsylvania,2016-10-11,6.361035902
Pennsylvania,2016-10-12,6.124904486
Pennsylvania,2016-10-13,5.889284641
Pennsylvania,2016-10-14,5.838831197
Pennsylvania,2016-10-15,5.761562154
Pennsylvania,2016-10-16,5.722713545
Pennsylvania,2016-10-17,5.674964646
Pennsylvania,2016-10-18,5.696892366
Pennsylvania,2016-10-19,5.715530928
Pennsylvania,2016-10-20,5.637640127
Pennsylvania,2016-10-21,5.482769576
Pennsylvania,2016-10-22,5.348099532
Pennsylvania,2016-10-23,5.290681835
Pennsylvania,2016-10-24,5.302552989
Pennsylvania,2016-10-25,5.26470015
Pennsylvania,2016-10-26,5.22733426
Pennsylvania,2016-10-27,5.147778646
Pennsylvania,2016-10-28,5.057768104
Pennsylvania,2016-10-29,4.936867771
Pennsylvania,2016-10-30,4.85519445
Pennsylvania,2016-10-31,4.750103749
Pennsylvania,2016-11-01,3.088349952
Pennsylvania,2016-11-02,2.201291213
Pennsylvania,2016-11-03,1.822751579
Pennsylvania,2016-11-04,1.72285978
Pennsylvania,2016-11-05,1.46091329
Pennsylvania,2016-11-06,1.462988773
Pennsylvania,2016-11-07,1.592810822
U.S.,2016-09-01,3.00380074
U.S.,2016-09-02,3.028933729
U.S.,2016-09-03,2.984384258
U.S.,2016-09-04,3.087703382
U.S.,2016-09-05,3.033526024
U.S.,2016-09-06,2.889655373
U.S.,2016-09-07,2.77002596
U.S.,2016-09-08,2.653649619
U.S.,2016-09-09,2.544527222
U.S.,2016-09-10,2.574431553
U.S.,2016-09-11,2.479073039
U.S.,2016-09-12,2.560255111
U.S.,2016-09-13,2.563234882
U.S.,2016-09-14,2.647834532
U.S.,2016-09-15,2.784658567
U.S.,2016-09-16,2.931771142
U.S.,2016-09-17,3.086562369
U.S.,2016-09-18,3.203508632
U.S.,2016-09-19,3.26997221
U.S.,2016-09-20,3.275069603
U.S.,2016-09-21,3.209183545
U.S.,2016-09-22,3.11069805
U.S.,2016-09-23,3.000860693
U.S.,2016-09-24,2.925213065
U.S.,2016-09-25,2.905017034
U.S.,2016-09-26,2.845117624
U.S.,2016-09-27,2.882177106
U.S.,2016-09-28,2.969226949
U.S.,2016-09-29,3.016299223
U.S.,2016-09-30,3.075693116
U.S.,2016-10-01,4.092649982
U.S.,2016-10-02,3.99016155
U.S.,2016-10-03,3.67246836
U.S.,2016-10-04,3.807906821
U.S.,2016-10-05,4.191219116
U.S.,2016-10-06,4.395858486
U.S.,2016-10-07,4.611028085
U.S.,2016-10-08,4.760424493
U.S.,2016-10-09,4.850840466
U.S.,2016-10-10,4.813368226
U.S.,2016-10-11,4.811318023
U.S.,2016-10-12,4.957505616
U.S.,2016-10-13,5.006682826
U.S.,2016-10-14,5.019289346
U.S.,2016-10-15,5.077811407
U.S.,2016-10-16,5.123821624
U.S.,2016-10-17,5.117288016
U.S.,2016-10-18,5.020921251
U.S.,2016-10-19,4.888309708
U.S.,2016-10-20,4.929361015
U.S.,2016-10-21,4.973793183
U.S.,2016-10-22,5.027384198
U.S.,2016-10-23,5.053824605
U.S.,2016-10-24,5.057993709
U.S.,2016-10-25,4.927695409
U.S.,2016-10-26,4.824067403
U.S.,2016-10-27,4.636159923
U.S.,2016-10-28,4.484747569
U.S.,2016-10-29,4.373471439
U.S.,2016-10-30,4.277877473
U.S.,2016-10-31,4.192072833
U.S.,2016-11-01,3.118806373
U.S.,2016-11-02,2.844858454
U.S.,2016-11-03,2.866518551
U.S.,2016-11-04,2.969299847
U.S.,2016-11-05,3.007467881
U.S.,2016-11-06,3.015156026
U.S.,2016-11-07,2.724447797
Wisconsin,2016-09-01,5.915607878
Wisconsin,2016-09-02,7.251028185
Wisconsin,2016-09-03,7.584883261
Wisconsin,2016-09-04,7.718425292
Wisconsin,2016-09-05,7.785196307
Wisconsin,2016-09-06,7.823351173
Wisconsin,2016-09-07,7.651814568
Wisconsin,2016-09-08,7.537456832
Wisconsin,2016-09-09,7.16904556
Wisconsin,2016-09-10,6.901110089
Wisconsin,2016-09-11,6.700158485
Wisconsin,2016-09-12,6.545580329
Wisconsin,2016-09-13,6.424126064
Wisconsin,2016-09-14,6.855178493
Wisconsin,2016-09-15,6.921656096
Wisconsin,2016-09-16,6.97742583
Wisconsin,2016-09-17,7.023900608
Wisconsin,2016-09-18,7.063037263
Wisconsin,2016-09-19,7.198803544
Wisconsin,2016-09-20,7.315174641
Wisconsin,2016-09-21,7.285133813
Wisconsin,2016-09-22,7.259011354
Wisconsin,2016-09-23,7.340624671
Wisconsin,2016-09-24,7.412444389
Wisconsin,2016-09-25,7.475977217
Wisconsin,2016-09-26,7.532450842
Wisconsin,2016-09-27,7.664319117
Wisconsin,2016-09-28,7.782545847
Wisconsin,2016-09-29,7.888949903
Wisconsin,2016-09-30,8.017490257
Wisconsin,2016-10-01,9.88132539
Wisconsin,2016-10-02,9.88132539
Wisconsin,2016-10-03,9.88132539
Wisconsin,2016-10-04,9.183746284
Wisconsin,2016-10-05,8.909458539
Wisconsin,2016-10-06,8.637499438
Wisconsin,2016-10-07,8.463564591
Wisconsin,2016-10-08,8.402955234
Wisconsin,2016-10-09,8.360528684
Wisconsin,2016-10-10,8.252854865
Wisconsin,2016-10-11,8.172099501
Wisconsin,2016-10-12,8.10997999
Wisconsin,2016-10-13,8.069208768
Wisconsin,2016-10-14,8.076060165
Wisconsin,2016-10-15,7.923042654
Wisconsin,2016-10-16,7.797028232
Wisconsin,2016-10-17,7.538620409
Wisconsin,2016-10-18,7.403416544
Wisconsin,2016-10-19,7.277924281
Wisconsin,2016-10-20,7.139272333
Wisconsin,2016-10-21,7.091699637
Wisconsin,2016-10-22,7.050332075
Wisconsin,2016-10-23,7.077701671
Wisconsin,2016-10-24,7.156262065
Wisconsin,2016-10-25,7.107662215
Wisconsin,2016-10-26,7.056922704
Wisconsin,2016-10-27,7.002116684
Wisconsin,2016-10-28,6.945122118
Wisconsin,2016-10-29,6.866150511
Wisconsin,2016-10-30,6.770023661
Wisconsin,2016-10-31,6.719856607
Wisconsin,2016-11-01,6.252132258
Wisconsin,2016-11-02,6.193081959
Wisconsin,2016-11-03,6.065868745
Wisconsin,2016-11-04,6.014983459
Wisconsin,2016-11-05,5.989540816
Wisconsin,2016-11-06,5.975002163
Wisconsin,2016-11-07,5.966612413
