index,day,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump,c_minus_t_raw,c_minus_t_adj
0,2015-12-02,47.5,44.0,45.99358,43.09443,3.5,2.899149999999999
1,2015-12-03,47.5,44.0,45.99358,43.09443,3.5,2.899149999999999
2,2015-12-04,47.5,44.0,45.99358,43.09443,3.5,2.899149999999999
3,2015-12-05,47.5,44.0,45.99358,43.09443,3.5,2.899149999999999
4,2015-12-06,47.5,44.0,45.99358,43.09443,3.5,2.899149999999999
5,2015-12-13,43.0,33.0,41.40265,32.10275,10.0,9.299900000000001
6,2015-12-14,43.5,30.6,41.89856,29.72806,12.899999999999999,12.170500000000004
7,2015-12-15,42.6,32.1,40.99447,31.25336,10.5,9.741109999999999
8,2015-12-16,43.5,30.7,41.89038,29.87999,12.8,12.010390000000001
9,2015-12-17,43.7,31.4,42.08605,30.60602,12.300000000000004,11.48003
10,2015-12-18,43.2,32.0,41.58025,31.23407,11.200000000000003,10.34618
11,2015-12-19,41.7,33.8,40.07498,33.06032,7.900000000000006,7.014659999999999
12,2015-12-20,42.5,34.2,40.86942,33.48701,8.299999999999997,7.38241
13,2015-12-21,42.1,35.9,40.46344,35.21469,6.200000000000003,5.248750000000001
14,2015-12-22,42.1,36.2,40.45721,35.54269,5.899999999999999,4.914520000000003
15,2015-12-23,42.4,35.6,40.75249,34.96897,6.799999999999997,5.783520000000003
16,2015-12-24,43.2,34.0,41.5478,33.39547,9.200000000000003,8.15233
17,2015-12-25,42.8,34.8,41.14317,34.22219,8.0,6.92098
18,2015-12-26,42.6,34.9,40.93865,34.34912,7.700000000000003,6.589530000000003
19,2015-12-27,43.2,34.9,41.53489,34.37496,8.300000000000004,7.159929999999996
20,2015-12-28,38.0,41.0,36.33124,40.50216,-3.0,-4.170920000000002
21,2015-12-29,43.5,35.7,41.82758,35.22936,7.799999999999997,6.598219999999998
22,2015-12-30,42.6,35.2,40.92393,34.75656,7.399999999999999,6.167369999999998
23,2015-12-31,42.8,35.6,41.12028,35.18376,7.199999999999996,5.936520000000002
24,2016-01-01,41.8,36.4,40.11739,36.00981,5.399999999999999,4.107579999999999
25,2016-01-02,41.9,36.6,40.21469,36.2342,5.299999999999997,3.980489999999996
26,2016-01-03,40.1,38.1,38.41105,37.75917,2.0,0.6518800000000056
27,2016-01-04,41.2,38.1,39.50578,37.78483,3.1000000000000014,1.720950000000002
28,2016-01-05,41.6,36.9,39.90166,36.60923,4.700000000000003,3.292430000000003
29,2016-01-06,42.6,35.6,40.89772,35.33364,7.0,5.564079999999997
30,2016-01-07,43.1,34.9,41.39394,34.65771,8.200000000000003,6.736229999999999
31,2016-01-08,44.9,34.9,43.18899,34.68298,10.0,8.506009999999996
32,2016-01-09,43.9,35.6,42.18397,35.40778,8.299999999999997,6.77619
33,2016-01-10,43.5,36.4,41.77744,36.23294,7.100000000000001,5.544499999999999
34,2016-01-11,43.7,37.1,41.97243,36.95761,6.600000000000001,5.01482
35,2016-01-12,44.7,35.7,42.96768,35.58157,9.0,7.386110000000002
36,2016-01-13,44.4,34.8,42.6636,34.70544,9.600000000000001,7.9581599999999995
37,2016-01-14,43.6,35.6,41.8583,35.53011,8.0,6.328189999999999
38,2016-01-15,42.0,37.6,40.25211,37.55684,4.399999999999999,2.6952700000000007
39,2016-01-16,41.7,39.1,39.94555,39.08231,2.6000000000000014,0.8632399999999976
40,2016-01-17,41.7,40.0,39.93962,40.00631,1.7000000000000028,-0.06669000000000125
41,2016-01-18,41.3,41.0,39.53263,41.03066,0.29999999999999716,-1.49803
42,2016-01-19,42.6,39.8,40.82732,39.85463,2.8000000000000043,0.97269
43,2016-01-20,45.3,36.6,43.52385,36.67766,8.699999999999996,6.84619
44,2016-01-21,46.5,34.7,44.71962,34.80032,11.799999999999997,9.9193
45,2016-01-22,45.3,36.0,43.51364,36.12381,9.299999999999997,7.3898300000000035
46,2016-01-23,46.2,35.3,44.40942,35.44692,10.900000000000006,8.962499999999999
47,2016-01-24,45.1,36.2,43.30488,36.36977,8.899999999999999,6.935109999999995
48,2016-01-25,45.8,36.4,43.99805,36.59398,9.399999999999999,7.404069999999997
49,2016-01-26,46.5,35.7,44.69149,35.91728,10.799999999999997,8.774210000000004
50,2016-01-27,46.7,35.6,44.8849,35.84199,11.100000000000001,9.04291
51,2016-01-28,46.2,35.5,44.37838,35.7668,10.700000000000003,8.611579999999996
52,2016-01-29,46.9,35.3,45.07183,35.59172,11.600000000000001,9.480109999999996
53,2016-01-30,44.7,37.1,42.86492,37.41659,7.600000000000001,5.448329999999999
54,2016-01-31,42.6,39.0,40.76009,39.34243,3.6000000000000014,1.417659999999998
55,2016-02-01,44.3,36.7,42.45362,37.06633,7.599999999999994,5.38729
56,2016-02-02,44.4,37.0,42.54664,37.38779,7.399999999999999,5.158849999999994
57,2016-02-03,45.5,36.0,43.63861,36.41092,9.5,7.227690000000003
58,2016-02-04,45.7,35.7,43.83049,36.13332,10.0,7.69717
59,2016-02-05,47.8,33.7,45.92345,34.15584,14.099999999999994,11.767610000000005
60,2016-02-06,45.2,36.2,43.31565,36.68004,9.0,6.63561
61,2016-02-07,43.7,36.8,41.80786,37.30414,6.900000000000006,4.503720000000001
62,2016-02-08,43.2,37.6,41.30009,38.12812,5.600000000000001,3.1719699999999946
63,2016-02-09,42.6,38.5,40.69344,39.04954,4.100000000000001,1.6439000000000021
64,2016-02-10,43.5,37.8,41.58552,38.37333,5.700000000000003,3.2121899999999997
65,2016-02-11,43.95547310779551,41.231189408139926,42.05749798486395,41.95021248031731,2.7242836996555826,0.10728550454663788
66,2016-02-12,44.34596818473857,41.42800750973226,42.44473902126187,42.160098171111386,2.9179606750063094,0.2846408501504867
67,2016-02-13,44.53625611947868,40.76205208419673,42.62755192679124,41.50341776342703,3.7742040352819464,1.124134163364214
68,2016-02-14,43.884734527742495,40.852806901207046,41.964953506464965,41.60133052352286,3.0319276265354476,0.3636229829421082
69,2016-02-15,42.61446978757755,41.089622131143706,40.686212263374074,41.85118760170122,1.5248476564338382,-1.1649753383271453
70,2016-02-16,41.9,37.0,39.91237,37.70285,4.899999999999999,2.209520000000005
71,2016-02-17,41.7,37.3,39.70163,38.02615,4.400000000000006,1.6754800000000003
72,2016-02-18,41.8,37.5,39.78637,38.25203,4.299999999999997,1.5343400000000003
73,2016-02-19,43.6,35.5,41.57677,36.27308,8.100000000000001,5.303690000000003
74,2016-02-20,44.3,37.4,42.26671,38.19465,6.899999999999999,4.0720600000000005
75,2016-02-21,44.3,37.8,42.25777,38.61454,6.5,3.6432300000000026
76,2016-02-22,44.6,38.1,42.54902,38.93575,6.5,3.61327
77,2016-02-23,43.8,38.5,41.74251,39.3539,5.299999999999997,2.38861
78,2016-02-24,43.6,39.1,41.54047,39.96747,4.5,1.5730000000000004
79,2016-02-25,44.8,37.6,42.73633,38.48354,7.199999999999996,4.2527900000000045
80,2016-02-26,44.8,37.4,42.73115,38.30077,7.399999999999999,4.4303799999999995
81,2016-02-27,45.9,36.0,43.8215,36.91534,9.899999999999999,6.90616
82,2016-02-28,46.0,36.3,43.91339,37.23425,9.700000000000003,6.679139999999997
83,2016-02-29,45.5,34.5,43.41054,35.4516,11.0,7.958939999999998
84,2016-03-01,45.2,33.8,43.10592,34.77016,11.400000000000006,8.33576
85,2016-03-02,46.2,32.2,44.10165,33.18721,14.0,10.914439999999999
86,2016-03-03,44.9,32.0,42.8073,32.99287,12.899999999999999,9.814429999999994
87,2016-03-04,45.9,32.1,43.81117,33.09582,13.799999999999997,10.715349999999994
88,2016-03-05,47.0,32.1,44.90795,33.10412,14.899999999999999,11.803829999999998
89,2016-03-06,45.2,34.4,43.10374,35.41288,10.800000000000004,7.690860000000001
90,2016-03-07,43.6,36.9,41.49777,37.92498,6.700000000000003,3.572790000000005
91,2016-03-08,43.1,38.2,40.99657,39.23371,4.899999999999999,1.7628599999999963
92,2016-03-09,41.9,38.1,39.79499,39.1412,3.799999999999997,0.6537900000000008
93,2016-03-10,41.8,39.4,39.69315,40.44725,2.3999999999999986,-0.754099999999994
94,2016-03-11,44.1,38.8,41.99097,39.85349,5.300000000000004,2.1374799999999965
95,2016-03-12,43.1,37.7,40.98823,38.76084,5.399999999999999,2.2273899999999998
96,2016-03-13,42.5,39.6,40.38955,40.66574,2.8999999999999986,-0.2761899999999997
97,2016-03-14,42.8,40.2,40.69189,41.27271,2.5999999999999943,-0.5808199999999957
98,2016-03-15,40.7,40.4,38.59477,41.48149,0.30000000000000426,-2.886720000000004
99,2016-03-16,39.0,40.5,36.89938,41.58645,-1.5,-4.6870699999999985
100,2016-03-17,41.2,40.1,39.10933,41.19357,1.1000000000000014,-2.084240000000001
101,2016-03-18,41.8,37.8,39.72311,38.92915,4.0,0.7939599999999984
102,2016-03-19,48.43713566914082,36.445029146468734,46.48545622728033,37.51871488273923,11.992106522672088,8.966741344541104
103,2016-03-20,48.58732375195831,37.00441414912114,46.639945534159864,38.0906181756835,11.582909602837166,8.549327358476363
104,2016-03-21,48.62953712028992,36.39159625164553,46.69086422024242,37.48803493972146,12.237940868644394,9.202829280520954
105,2016-03-22,48.576327268685375,36.44731321495378,46.64878966855276,37.55056591912848,12.129014053731597,9.098223749424276
106,2016-03-23,46.1,35.6,44.087,36.83521,10.5,7.251790000000007
107,2016-03-24,45.9,35.4,43.90667,36.64617,10.5,7.2605
108,2016-03-25,47.9,33.1,45.9277,34.35698,14.799999999999997,11.570720000000001
109,2016-03-26,47.7,33.2,45.74762,34.46983,14.5,11.277789999999996
110,2016-03-27,47.2,32.4,45.27006,33.68008,14.800000000000004,11.589980000000004
111,2016-03-28,45.8,33.6,43.87563,34.90994,12.199999999999996,8.965690000000002
112,2016-03-29,44.1,33.6,42.18518,34.93524,10.5,7.249940000000002
113,2016-03-30,43.6,34.0,41.70235,35.34445,9.600000000000001,6.357900000000001
114,2016-03-31,43.8,33.5,41.92469,34.85075,10.299999999999997,7.07394
115,2016-04-01,42.4,35.6,40.54827,36.95871,6.799999999999997,3.5895599999999988
116,2016-04-02,42.7,34.2,40.87314,35.56499,8.5,5.308149999999998
117,2016-04-03,43.6,33.6,41.79613,34.97287,10.0,6.823259999999998
118,2016-04-04,44.9,33.2,43.11699,34.58195,11.699999999999996,8.535040000000002
119,2016-04-05,45.2,33.4,43.44192,34.78776,11.800000000000004,8.654160000000005
120,2016-04-06,47.6,31.2,45.87133,32.59159,16.400000000000002,13.279740000000004
121,2016-04-07,48.2,31.9,46.4984,33.29653,16.300000000000004,13.20187
122,2016-04-08,47.1,34.1,45.42861,35.50021,13.0,9.928399999999996
123,2016-04-09,46.1,34.2,44.46043,35.60252,11.899999999999999,8.857910000000004
124,2016-04-10,46.3,35.2,44.68481,36.60667,11.099999999999994,8.078139999999998
125,2016-04-11,45.4,36.2,43.81641,37.60773,9.199999999999996,6.208680000000001
126,2016-04-12,45.5,35.7,43.94471,37.10814,9.799999999999997,6.836570000000002
127,2016-04-13,46.4,33.6,44.87462,35.00547,12.799999999999997,9.869149999999998
128,2016-04-14,45.7,34.0,44.20901,35.40578,11.700000000000003,8.80323
129,2016-04-15,45.2,34.4,43.74332,35.80647,10.800000000000004,7.93685
130,2016-04-16,46.6,33.1,45.17962,34.5071,13.5,10.672519999999999
131,2016-04-17,46.2,34.2,44.8227,35.60173,12.0,9.220969999999994
132,2016-04-18,44.9,35.2,43.56321,36.59406,9.699999999999996,6.969149999999999
133,2016-04-19,46.4,34.9,45.09613,36.29117,11.5,8.804960000000001
134,2016-04-20,48.14009798325481,36.12560597412107,46.892589180521384,37.62936178595497,12.01449200913374,9.263227394566414
135,2016-04-21,47.07579835878983,36.91931806298507,45.85369513680416,38.41938674575476,10.15648029580476,7.434308391049408
136,2016-04-22,46.84215325016308,37.477466745614336,45.64523345796511,38.973310675373924,9.364686504548738,6.671922782591196
137,2016-04-23,46.556176840060374,37.58859706559851,45.383800470665484,39.08267338040862,8.96757977446186,6.301127090256859
138,2016-04-24,46.88338125719345,37.719960159204454,45.735018551329865,39.21345276926586,9.163421097988996,6.521565782064012
139,2016-04-25,44.5,37.8,43.45076,39.16129,6.700000000000003,4.2894700000000014
140,2016-04-26,45.2,38.0,44.19608,39.36003,7.200000000000003,4.83605
141,2016-04-27,44.9,37.8,43.93458,39.15773,7.100000000000001,4.776849999999996
142,2016-04-28,47.0,36.8,46.0743,38.15662,10.200000000000003,7.917680000000004
143,2016-04-29,46.8,36.8,45.91719,38.15388,10.0,7.763309999999997
144,2016-04-30,48.1,35.4,47.25974,36.75472,12.700000000000003,10.505020000000002
145,2016-05-01,46.3,36.3,45.50227,37.65554,10.0,7.846730000000001
146,2016-05-02,45.0,36.7,44.24443,38.05721,8.299999999999997,6.1872200000000035
147,2016-05-03,44.6,36.6,43.8859,37.95777,8.0,5.928130000000003
148,2016-05-04,42.2,37.6,41.52813,38.95703,4.600000000000001,2.571099999999994
149,2016-05-05,39.9,40.2,39.26959,41.56127,-0.30000000000000426,-2.2916799999999995
150,2016-05-06,41.2,40.1,40.60755,41.46533,1.1000000000000014,-0.8577799999999982
151,2016-05-07,43.3,38.2,42.74415,39.57487,5.099999999999994,3.1692800000000005
152,2016-05-08,40.5,40.4,39.98479,41.78611,0.10000000000000142,-1.801320000000004
153,2016-05-09,42.6,39.9,42.12742,41.29073,2.700000000000003,0.8366899999999973
154,2016-05-10,43.2,38.8,42.76532,40.20272,4.400000000000006,2.5626000000000033
155,2016-05-11,43.9,37.7,43.50716,39.11189,6.199999999999996,4.3952699999999965
156,2016-05-12,42.9,38.6,42.54914,40.02052,4.299999999999997,2.5286200000000036
157,2016-05-13,43.3,38.3,42.9893,39.72064,5.0,3.268659999999997
158,2016-05-14,42.9,37.0,42.63124,38.42083,5.899999999999999,4.210409999999996
159,2016-05-15,42.2,37.3,41.96929,38.71925,4.900000000000006,3.2500399999999985
160,2016-05-16,41.7,37.9,41.51003,39.30696,3.8000000000000043,2.203070000000004
161,2016-05-17,42.8,36.8,42.65186,38.19473,6.0,4.457129999999999
162,2016-05-18,42.6,36.6,42.48125,38.00478,6.0,4.476470000000006
163,2016-05-19,41.8,37.7,41.72217,39.09983,4.099999999999994,2.6223400000000012
164,2016-05-20,42.3,37.2,42.26061,38.59251,5.099999999999994,3.6681000000000026
165,2016-05-21,43.8,37.3,43.7777,38.71445,6.5,5.063250000000004
166,2016-05-22,42.1,38.5,42.09553,39.93351,3.6000000000000014,2.1620199999999983
167,2016-05-23,43.2,37.3,43.21848,38.7386,5.900000000000006,4.479880000000001
168,2016-05-24,44.4,35.9,44.43873,37.34936,8.5,7.089370000000002
169,2016-05-25,45.8,35.5,45.86052,36.96459,10.299999999999997,8.89593
170,2016-05-26,46.1,35.4,46.17604,36.88164,10.700000000000003,9.294400000000003
171,2016-05-27,46.0,34.8,46.09309,36.29812,11.200000000000003,9.79497
172,2016-05-28,45.9,35.8,46.0058,37.31475,10.100000000000001,8.691050000000004
173,2016-05-29,46.9,35.2,47.01871,36.73346,11.699999999999996,10.285249999999998
174,2016-05-30,46.5,34.8,46.63066,36.35176,11.700000000000003,10.2789
175,2016-05-31,46.7,33.7,46.84405,35.26876,13.0,11.575290000000003
176,2016-06-01,47.5,33.7,47.65613,35.28489,13.799999999999997,12.37124
177,2016-06-02,46.1,34.0,46.27494,35.59482,12.100000000000001,10.680120000000002
178,2016-06-03,42.0,33.0,44.58181,37.00569,9.0,7.576119999999996
179,2016-06-04,41.8,30.8,44.39024,34.81818,10.999999999999996,9.57206
180,2016-06-05,43.9,29.0,46.49813,33.03089,14.899999999999999,13.467240000000004
181,2016-06-06,44.0,29.9,46.60658,33.94169,14.100000000000001,12.66489
182,2016-06-07,43.0,30.4,45.61335,34.45631,12.600000000000001,11.157039999999995
183,2016-06-08,43.0,28.8,45.61828,32.86663,14.2,12.751649999999998
184,2016-06-09,42.4,28.9,45.02784,32.97919,13.5,12.048649999999995
185,2016-06-10,45.517932936197276,33.180958704216366,48.27843267172956,37.19097114619543,12.336974231980909,11.087461525534131
186,2016-06-11,45.583305056911804,33.07920252432502,48.348641670179,37.099025992280325,12.504102532586781,11.249615677898674
187,2016-06-12,46.53594468870557,32.85590697645938,49.30549705186348,36.88538480387279,13.680037712246198,12.42011224799069
188,2016-06-13,45.800457029264834,33.96885402772459,48.57742937388256,38.000881591701024,11.831603001540252,10.576547782181533
189,2016-06-14,45.9,31.9,48.58012,36.04625,14.0,12.53387
190,2016-06-15,44.16803476768022,34.75953643093039,46.385336739613145,38.744064105918596,9.408498336749831,7.6412726336945465
191,2016-06-16,45.17997682688339,34.5838569735245,47.40487921585827,38.5713139707187,10.596119853358896,8.833565245139576
192,2016-06-17,44.678805545982044,35.24641900621304,46.91917749803147,39.232012961990016,9.432386539769002,7.687164536041454
193,2016-06-18,44.96536222366963,35.35320561844595,47.219298268877054,39.336413875495374,9.612156605223676,7.882884393381679
194,2016-06-19,44.45381383358342,34.67420410288497,46.713634011855824,38.656765898865864,9.779609730698441,8.056868112989966
