Cluster,,Est. Service Rate ,Estimated __,Estimated Performance,,,,,
,,,,5m,10m,15m,20m,25m,30m
Week day,0:00 - 4:00,-,-,-,-,-,-,-,-
,4:00 - 8:00,0.848,0.861,52.20%,73.40%,85.20%,91.80%,95.40%,97.50%
,8:00 - 12:00,1.197,0.888,54.50%,76.70%,88.10%,93.90%,96.90%,98.40%
,12:00 - 16:00,1.218,0.864,62.20%,83.50%,92.80%,96.80%,98.60%,99.40%
,16:00 - 20:00,1.289,0.846,68.80%,88.50%,95.70%,98.40%,99.40%,99.80%
,20:00 - 0:00,0.218,0.342,83.30%,91.90%,96.00%,98.10%,99.10%,99.50%
Week-end,0:00 - 4:00,-,-,-,-,-,-,-,-
,4:00 - 8:00,0.849,0.838,57.90%,78.80%,89.40%,94.70%,97.30%,98.60%
,8:00 - 12:00,1.049,0.846,62.40%,83.20%,92.50%,96.70%,98.50%,99.30%
,12:00 - 16:00,1.245,0.864,62.90%,84.10%,93.20%,97.10%,98.70%,99.50%
,16:00 - 20:00,1.428,0.885,61.10%,82.90%,92.50%,96.70%,98.60%,99.40%
,20:00 - 0:00,0.203,0.337,82.80%,91.20%,95.50%,97.70%,98.80%,99.40%