Cluster,Est Serv Rate (per minute),Est Ï,<= 5 mins,<= 10 mins,<= 15 mins,<= 20 mins,<= 25 mins,<= 30 mins
Weekday - 0:00 - 4:00,,,N/A,N/A,N/A,N/A,N/A,N/A
Weekday - 4:00 - 8:00,0.848,0.862,52.1%,73.4%,85.2%,91.8%,95.4%,97.5%
Weekday - 8:00 - 12:00,1.197,0.888,54.5%,76.7%,88.1%,93.9%,96.9%,98.4%
Weekday - 12:00 - 16:00,1.218,0.864,62.2%,83.5%,92.8%,96.8%,98.6%,99.4%
Weekday - 16:00 - 20:00,1.289,0.846,68.7%,88.4%,95.7%,98.4%,99.4%,99.8%
Weekday - 20:00 - 0:00,0.214,0.347,82.8%,91.4%,95.7%,97.9%,99.0%,99.5%
Weekend - 0:00 - 4:00,,,N/A,N/A,N/A,N/A,N/A,N/A
Weekend - 4:00 - 8:00,0.849,0.838,57.8%,78.8%,89.3%,94.6%,97.3%,98.6%
Weekend - 8:00 - 12:00,1.048,0.846,62.3%,83.2%,92.5%,96.7%,98.5%,99.3%
Weekend - 12:00 - 16:00,1.245,0.864,62.9%,84.1%,93.2%,97.1%,98.7%,99.5%
Weekend - 16:00 - 20:00,1.43,0.884,61.5%,83.2%,92.7%,96.8%,98.6%,99.4%
Weekend - 20:00 - 0:00,0.202,0.339,82.7%,91.1%,95.4%,97.7%,98.8%,99.4%
